Date,Count
Jul-10,3
Aug-10,8
Sep-10,5
Oct-10,3
Nov-10,12
Dec-10,10
Jan-11,3
Feb-11,5
Mar-11,2
Apr-11,2
May-11,1
Jul-11,2
Aug-11,1
Sep-11,2
Oct-11,1
Nov-11,1
Jan-12,1
Feb-12,4
Apr-12,5
May-12,10
Jun-12,22
Jul-12,33
Aug-12,29
Sep-12,37
Oct-12,28
Nov-12,31
Dec-12,10
Jan-13,15
Feb-13,12
Mar-13,22
Apr-13,21
May-13,12
Jun-13,16
Jul-13,21
Aug-13,20
Sep-13,26
Oct-13,7
Nov-13,9
Dec-13,8
Jan-14,6
Feb-14,7
Mar-14,71
Apr-14,10
May-14,6
Jun-14,1
Jul-14,3
Aug-14,7
Sep-14,15
Oct-14,8
Nov-14,4
Dec-14,1
Jan-15,50
Feb-15,10
Mar-15,8
Apr-15,9
May-15,4
Jun-15,19
Jul-15,12
Aug-15,18
Sep-15,14
Oct-15,71
Nov-15,18
Dec-15,17
Jan-16,36
Feb-16,6
Mar-16,31
Apr-16,4
May-16,7
Jun-16,10
Jul-16,5
Aug-16,7
Sep-16,9
Oct-16,4
Nov-16,8
Dec-16,3
Jan-17,10
Feb-17,9
Mar-17,17
Apr-17,5
May-17,2
Jun-17,1
Jul-17,3
Aug-17,2
Sep-17,4
Oct-17,4
Nov-17,4
Dec-17,5
Jan-18,8
Feb-18,6
Mar-18,4
Apr-18,5
May-18,7
Jun-18,3
Jul-18,2
Aug-18,5
Sep-18,4
Oct-18,12
Nov-18,2
Dec-18,4
Jan-19,2
Feb-19,3
Mar-19,7
Apr-19,2
May-19,1
Jul-19,1
Aug-19,6
Oct-19,1
Nov-19,2
Feb-20,1
Apr-20,5
May-20,2
Jun-20,5
Aug-20,1
May-21,4
Oct-21,1
May-23,1
