word,frequency
t,520
co,511
to,428
the,368
https,315
I,310
you,278
and,223
a,220
http,212
of,197
for,182
in,173
is,147
my,132
on,118
so,97
x,96
me,93
this,87
it,86
amp,85
with,79
are,78
at,70
Thank,70
all,68
that,66
be,65
was,64
have,63
out,58
your,53
love,52
by,48
about,46
women,44
from,39
just,39
an,38
but,37
thank,36
see,36
The,36
am,35
much,35
as,33
everyone,33
not,32
now,32
amazing,32
X,31
has,30
xx,30
time,29
So,29
great,29
I'm,28
can,27
like,27
today,26
we,26
really,26
This,25
up,25
You,25
there,25
people,24
her,24
It,24
going,24
HeForShe,24
who,23
work,23
UK,23
had,23
think,23
too,23
being,22
one,22
go,22
it's,22
happy,21
If,21
or,21
do,21
support,21
more,21
will,21
here,21
good,21
Noah,21
our,20
Love,20
they,20
Happy,20
their,20
tonight,20
s,19
gender,19
My,19
girls,19
such,19
new,19
don't,19
It's,19
been,18
Emma,18
interview,18
proud,18
equality,18
did,18
',18
Perks,18
world,17
heforshe,17
say,16
A,16
Just,16
were,16
get,16
last,16
What,16
make,15
best,15
Please,15
read,15
book,15
New,15
night,15
believe,15
what,15
got,15
made,14
And,14
no,14
want,14
know,14
how,14
its,14
them,14
excited,14
Yes,14
way,13
very,13
when,13
friend,13
vote,13
Christmas,13
Not,13
tomorrow,13
guys,13
working,12
In,12
loved,12
having,12
day,12
some,12
I've,12
Women,12
birthday,12
hope,12
yes,12
first,12
We,12
men,12
cool,12
Em,12
Hi,12
making,11
these,11
many,11
week,11
campaign,11
over,11
beautiful,11
part,11
Day,11
favourite,11
video,11
London,11
also,11
why,11
off,11
man,11
seen,11
Me,11
hard,10
doing,10
feel,10
need,10
any,10
violence,10
life,10
Good,10
cover,10
yesterday,10
lovely,10
than,10
things,10
haven't,10
everything,10
Go,10
O,10
can't,10
where,9
ok,9
keep,9
us,9
most,9
if,9
full,9
To,9
put,9
brilliant,9
give,9
show,9
started,9
film,9
woman,9
Why,9
would,9
1,9
books,9
OurSharedShelf,9
IWD,9
wait,9
movie,9
tweet,9
Being,9
Murray,9
Hope,9
Xx,8
March,8
yet,8
Our,8
wonderful,8
already,8
back,8
thought,8
anyone,8
even,8
because,8
home,8
meet,8
TimesUp,8
luck,8
SO,8
Such,8
Twitter,8
start,8
him,8
his,8
look,8
sure,8
xxx,8
soon,8
tell,8
she,8
wanted,8
app,8
Bling,8
Thanks,8
bit,8
Wallflower,8
years,7
E,7
m,7
still,7
From,7
Sending,7
other,7
black,7
available,7
call,7
Wow,7
On,7
women's,7
activists,7
3,7
stand,7
Equality,7
ever,7
those,7
check,7
feminist,7
every,7
fight,7
away,7
post,7
Watch,7
hear,7
Don't,7
found,7
Amazing,7
awards,7
thanks,7
come,7
Check,7
One,7
long,7
genius,7
take,7
always,7
HeforShe,7
kind,7
thing,7
done,7
10,7
he,7
messages,7
com,7
fb,7
family,6
30,6
letter,6
please,6
news,6
donate,6
around,6
respect,6
live,6
Great,6
impact,6
into,6
important,6
change,6
power,6
makes,6
against,6
rights,6
Birthday,6
cat,6
Excited,6
4,6
solidarity,6
Gender,6
year,6
For,6
charity,6
never,6
young,6
then,6
watch,6
NYC,6
right,6
fun,6
help,6
seeing,6
inspiring,6
Welcome,6
exciting,6
song,6
win,6
Watson,6
called,6
after,6
How,6
Can't,6
only,6
awesome,6
Hermione,6
IWD2016,6
came,6
absolutely,6
nice,6
50,6
u,6
Its,6
Is,6
premiere,6
enough,6
Facebook,6
See,6
Ring,6
www,6
facebook,6
sign,5
well,5
again,5
mean,5
Dear,5
As,5
Friday,5
two,5
country,5
incredible,5
All,5
dear,5
Paris,5
thoughts,5
Today,5
could,5
end,5
directed,5
free,5
while,5
different,5
No,5
People,5
honour,5
worldwide,5
find,5
both,5
abuse,5
forget,5
children,5
school,5
ago,5
US,5
UN,5
hair,5
issue,5
ready,5
films,5
met,5
She,5
THANK,5
YOU,5
voted,5
lot,5
saw,5
Beauty,5
Beast,5
watching,5
Dropping,5
IWDOurSharedShelf,5
ADayWithoutAWoman,5
Heforshe,5
face,5
'I,5
article,5
performance,5
haha,5
getting,5
Sorry,5
pretty,5
He,5
miss,5
hi,5
story,5
Premiere,5
human,5
Harry,5
Potter,5
able,5
GO,5
send,5
real,5
Now,5
dog,5
days,5
People's,5
Choice,5
few,5
Ok,5
Lanc,5
page,5
emmawatson,5
ly,5
thrilled,4
gt,4
Link,4
re,4
times,4
share,4
each,4
followers,4
lives,4
without,4
orgs,4
supporting,4
G7,4
's,4
company,4
laws,4
England,4
states,4
Istanbul,4
Convention,4
There,4
set,4
move,4
words,4
conversation,4
wishes,4
ve,4
6,4
million,4
clothes,4
Take,4
via,4
others,4
Full,4
behind,4
communities,4
left,4
About,4
open,4
pay,4
female,4
tour,4
Justice,4
since,4
heart,4
knew,4
harassment,4
Fund,4
huge,4
World,4
Zambia,4
control,4
reminder,4
Only,4
100,4
Huge,4
speech,4
another,4
dress,4
wall,4
picture,4
small,4
Year,4
person,4
Very,4
Congratulations,4
Sunday,4
interviewed,4
BeautyAndTheBeast,4
until,4
big,4
press,4
BBC,4
tickets,4
Have,4
