Date,Count
Jun-11,69
Jul-11,23
Aug-11,8
Sep-11,20
Oct-11,47
Nov-11,40
Dec-11,11
Jan-12,11
Feb-12,12
Mar-12,22
Apr-12,11
May-12,10
Jun-12,15
Jul-12,25
Aug-12,11
Sep-12,14
Oct-12,16
Nov-12,17
Dec-12,7
Jan-13,15
Feb-13,30
Mar-13,14
Apr-13,50
May-13,12
Jun-13,21
Jul-13,33
Aug-13,34
Sep-13,30
Oct-13,246
Nov-13,69
Dec-13,65
Jan-14,81
Feb-14,36
Mar-14,75
Apr-14,43
May-14,16
Jun-14,12
Jul-14,38
Aug-14,33
Sep-14,24
Oct-14,50
Nov-14,41
Dec-14,22
Jan-15,17
Feb-15,9
Mar-15,55
Apr-15,71
May-15,11
Jun-15,16
Jul-15,47
Aug-15,16
Sep-15,24
Oct-15,34
Nov-15,68
Dec-15,15
Jan-16,16
Feb-16,16
Mar-16,38
Apr-16,11
May-16,24
Jun-16,21
Jul-16,15
Aug-16,8
Sep-16,12
Oct-16,15
Nov-16,20
Dec-16,11
Jan-17,11
Feb-17,8
Mar-17,15
Apr-17,14
May-17,12
Jun-17,10
Jul-17,10
Aug-17,4
Sep-17,5
Oct-17,4
Nov-17,4
Dec-17,3
Jan-18,5
Feb-18,10
Mar-18,12
Apr-18,6
May-18,1
Jun-18,5
Jul-18,2
Aug-18,3
Sep-18,4
Oct-18,4
Nov-18,6
Jan-19,23
Feb-19,41
Mar-19,22
Apr-19,4
May-19,1
Jun-19,7
Jul-19,5
Sep-19,26
Oct-19,10
Nov-19,3
Dec-19,6
Jan-20,16
Feb-20,2
Mar-20,41
Apr-20,8
May-20,3
Jun-20,4
Jul-20,23
Aug-20,18
Sep-20,4
Oct-20,28
Nov-20,7
Dec-20,8
Jan-21,37
Feb-21,86
Mar-21,26
Apr-21,79
May-21,70
Jun-21,10
Jul-21,40
Aug-21,61
Sep-21,31
Oct-21,56
Nov-21,34
Dec-21,61
Jan-22,123
Feb-22,12
Mar-22,77
Apr-22,85
May-22,17
Jun-22,45
Jul-22,93
Aug-22,11
Sep-22,39
Oct-22,110
Nov-22,73
Dec-22,28
Jan-23,29
Feb-23,44
Mar-23,30
Apr-23,14
May-23,28
