Datetime,Text,Username
2023-05-26 16:12:52+00:00,Happy Friday! Hope y’all can make it!!!,jarpad
2023-05-16 20:15:25+00:00,To say I love this cast &amp; crew like they’re my own family is an understatement. I’ve become so deeply invested not only in the story this series is telling but everybody making it come to life. Help these kinfolk of mine. Let’s folking go: #SaveWalkerIndependence https://t.co/M1r4u9fiA8,jarpad
2023-05-16 15:18:32+00:00,"Family don’t end in cancellation, y’all. Spread the word &amp; help suppprt my friends’ shows. They deserve it. So get this: #SaveTheWinchesters #RenewGothamKnights",jarpad
2023-05-15 21:29:00+00:00,@mizorton29 Brie.,jarpad
2023-05-15 21:24:54+00:00,Welcome to Texas. For safety reasons (?) please keep three raccoons and one armadillo apart at all times. https://t.co/kNstau7EPa,jarpad
2023-05-12 00:00:32+00:00,"Here we goooooool!!!!!!
#WalkerFamily #WalkerDay #Walker",jarpad
2023-05-11 19:34:34+00:00,"#walkerday!!!!
Tune in and see what we’re gonna be dealing with next year!
😁❤️🙏
#WalkerFamily #walker",jarpad
2023-05-09 21:20:50+00:00,"Walker has been such an honor to portray, and I’m thrilled to bring him back for Season 4! On behalf of the cast and crew, we want share our love and gratitude for the show and its viewers. We’re all chompin at the bit to work alongside the CW and keep representing this family! 🤠 #WalkerFamily",jarpad
2023-05-05 01:01:31+00:00,"Alright. 
Hope some of y’all got to watch with me!!!
If not, we still have our season 3 finale next week 😁😁😁
Let’s do it!!
#Walker",jarpad
2023-05-05 01:00:18+00:00,"Waitasecond?!?!?!
I thought they were nice!!!! 😭🤦‍♂️
#Walker",jarpad
2023-05-05 00:58:11+00:00,"Daddy, you romantic devil. 😈
#walker
@mollyhagan #mitchpileggi",jarpad
2023-05-05 00:54:23+00:00,"ALSO the scene I’ve wanted to see…
#Goodbyes
#Walker",jarpad
2023-05-05 00:47:21+00:00,"What have y’all done with the Side Step?!?!
😳🤦‍♂️
#Walker",jarpad
2023-05-05 00:41:48+00:00,"That’s the scene I’ve wanted to see…
#Walker 
#SkippinRocks",jarpad
2023-05-05 00:36:29+00:00,"#Walker better deal with that vision sooner than later….
They always seem to help…",jarpad
2023-05-05 00:32:14+00:00,"Just tryin to roast some marshmallows and THAT happens!!! 🤦‍♂️
Beware the poisonous snakes!!!
#Walker @JeffLPierre",jarpad
2023-05-05 00:19:30+00:00,"Did I just see @colinfordactor?!?!
😍😍😍
#Walker",jarpad
2023-05-05 00:17:54+00:00,"Momma…. 
Daddy….
Uhhhhh…. You know there are cameras watching yall, right????? 😳😳😳🤦‍♂️
#Walker",jarpad
2023-05-05 00:16:02+00:00,Hmmmm…. #walker is hiding something…,jarpad
2023-05-05 00:12:37+00:00,"#BTS - gettin to ride horses for days in a row, with a group of friends, made me rethink my own Bachelor party…
Maybe we should get married again @GenPadalecki? 🤞
#Walker",jarpad
2023-05-05 00:07:46+00:00,"SEE?!?!
Trey is scared of bears too!!!!
😂🤦‍♂️
#Walker @JeffLPierre",jarpad
2023-05-05 00:06:49+00:00,"Waaaaaaitasecond….
Are we talking dueling Bachelor/Bachelorette parties?…
#Walker",jarpad
2023-05-05 00:05:13+00:00,"Bachelor Party time!!! 
#Walker style 😁🤠",jarpad
2023-05-05 00:02:10+00:00,#Walker as an officiant???…. 😳,jarpad
2023-05-05 00:01:09+00:00,"Here we go!!!
#WalkerDay #Walker #WalkerFamily",jarpad
2023-05-04 23:31:24+00:00,"T-30 MINUTES until a brand new episode of #Walker!!!
#WalkerDay #WalkerFamily",jarpad
2023-05-04 21:15:13+00:00,"Who’s joining me for #WalkerDay ?!?!
Brand new episode tonight 😁🎉
Only TWO left for the season 😳
#Walker #WalkerFamily 
#MayThe4thBeWithYou",jarpad
2023-05-02 19:04:47+00:00,"#HappyBirthdaySamWinchester
40 doesn’t look so bad on ya. 
I really enjoyed spending time with you. 
Hope we get to visit again.",jarpad
2023-04-28 01:02:16+00:00,"Thanks for watching!!
Great to be back 😊
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:55:17+00:00,"Seems like the heart and soul of #Hoyt may have passed on….
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:50:05+00:00,"Why #Hoyt…… why???….
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:40:31+00:00,"Captain James!!!! 😳😳
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:28:42+00:00,"Uhhhh……
That looks fishy!!!
😳
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:27:32+00:00,My #Walker viewing partner…. https://t.co/1TUT1FsfXo,jarpad
2023-04-28 00:21:56+00:00,"Kids throwing headphones on in the living room when they’re not supposed to…
I feel you #Walker….
I feel you….
🤦‍♂️",jarpad
2023-04-28 00:21:08+00:00,"#Hoyt in the house!!!
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:07:18+00:00,"Waitasecond?!?!?!
He had a daughter!!!???
#Walker #WalkerDay #WalkerFamily",jarpad
2023-04-28 00:04:42+00:00,"Why’s the family breakfast always so busy when #walker just wants to say hey?!?! 🤦‍♂️
#WalkerFamily",jarpad
2023-04-27 23:57:47+00:00,"Here we go!!!!
#finally
#Walker #WalkerFamily",jarpad
2023-04-27 22:15:24+00:00,"#WalkerDay FINALLY!!!!
I’m gonna be watching and tweeting if anybody wants to join… 😁👍
#Walker #WalkerFamily",jarpad
2023-04-27 20:29:10+00:00,Forgot to tag @SamSmithTweets @GenPadalecki - sorry!!!!!,jarpad
2023-04-27 20:26:22+00:00,"We are almost sold out, but they've released a few group ops for the Telford show! See y'all then!

https://t.co/nCOdUB9j7P https://t.co/uh69jp8BcT",jarpad
2023-03-23 17:33:54+00:00,@Laura_WalkerSPN Or were you...,jarpad
2023-03-23 17:24:00+00:00,@CoriDean13 thank you!!,jarpad
2023-03-23 17:07:12+00:00,"I'm traveling today but hope it will line up with a layover! 🤞 If not, I'll need y'all to give ME the play by play.",jarpad
2023-03-23 17:02:30+00:00,@AKFgal_86 I appreciate them too! #WalkerFamily #SPNFamily,jarpad
2023-03-23 17:00:21+00:00,@tinkies22 @GenPadalecki Me too!,jarpad
2023-03-23 16:41:12+00:00,And this girl! Tonight! #Walker #WalkerFamily,jarpad
2023-03-23 16:36:21+00:00,"Who's in 🙋‍♂️!!! #Walker 

PS (something tells me that guy next to me is little shady) @MrJakeAbel",jarpad
2023-03-05 00:00:20+00:00,@MrJakeAbel I’m always pleased to meet someone who enjoys the stories I get to be a part of telling… even if it’s @MrJakeAbel….,jarpad
2023-03-03 02:58:13+00:00,"Abby and Hoyt walking and talking…
I’m in love with these characters and this show….
#walkerindependence",jarpad
2023-03-03 02:45:24+00:00,"DAYUM!!
EVERYONE is getting to throw some barbs in at #tom
#WalkerIndependence",jarpad
2023-03-03 02:35:15+00:00,"#WalkerIndependence is back on!!! I’m in!!
Why is my great-great-great-great-great-grandma talking to Tom Davidson?!?!
#WalkerVerse @Kat_McNamara @GregHovanessian",jarpad
2023-03-03 02:29:10+00:00,"Well… now y’all know….
(Except for those of us in Austin that have been forced to watch the weather forecasts…. 😭😭😭😭)
#walker #greyflag",jarpad
2023-03-03 01:34:00+00:00,"Um. 
#walker just got interrupted by a tornado warning in our area. 
Please keep Central Austin in your thoughts. 
🙏🙏❤️❤️",jarpad
2023-03-03 01:29:13+00:00,"Uhhhhh…..
Not gonna say anything about that…
Other than,
Uhhhhhhhh…… 😳😳
#Walker #WalkerVerse",jarpad
2023-03-03 01:25:11+00:00,"Whoa…… Lana seems to have a solid gut-feeling about Trey. @JeffLPierre 
#walker #WalkerVerse",jarpad
2023-03-03 01:19:20+00:00,"This episode was brought to you by #QuikRekoverStolenVehicleRecoverySystems
(The most difficult humbling of words to say on camera OF ALL TIME!!!! 🤦‍♂️) https://t.co/oe6kYRe3IQ",jarpad
2023-03-03 01:15:57+00:00,"Seems like #walker is trying to get away from #cassie…
#Walkerverse",jarpad
2023-03-03 01:04:22+00:00,"“Duke”??!!!! “Cpl. Culpeller”??!!
🤔🤔🤔🤔 #Walker #Walkerverse",jarpad
2023-03-03 01:03:34+00:00,"Kevin gettin roasted by Abeline 😁
@MrJakeAbel @mollyhagan",jarpad
2023-03-03 01:00:16+00:00,"Here we go y’all!!
#Walkerverse #Walker #WalkerIndependence",jarpad
2023-03-03 00:33:13+00:00,"T-MINUS 30 MINUTES!!!
#Walker #WalkerFamily #WalkerVerse",jarpad
2023-03-03 00:00:55+00:00,"T-MINUS 1 HOUR until #WalkerFamily!!!
#walker #WalkerIndependence",jarpad
2023-03-02 23:26:43+00:00,"@heritagesoftail We always bought off-brand when I was growing up. 
So, I have NBA Jelly.",jarpad
2023-03-02 23:17:05+00:00,"Happy Birthday @thebriarroseee!!!!!
You gonna be watching #walker and #WalkerIndependence with me tonight (again 🤦‍♂️)?
😊🤞",jarpad
2023-03-02 17:47:53+00:00,"Donating now!!
#YallCanToo #YallMeansAll",jarpad
2023-03-02 16:15:24+00:00,"Not to brag, but I’ve aged well 😂😂",jarpad
2023-03-02 16:09:14+00:00,"As you know @OutYouth is near and dear to @GenPadalecki and myself! 
If you would like to lend your support as well, they’re working on a fundraiser for 2023!! If you are not in a position to donate please follow and amplify their social platforms 🙏❤️ and the work they do!!",jarpad
2023-03-02 16:00:52+00:00,"Big night for everyone involved!! Thank you for having tuned in this season, we appreciated your support!!! 🙏❤️",jarpad
2023-03-02 15:58:25+00:00,"@Kat_McNamara @walker_room @CWWalkerIND @TheCW @CBSTVStudios Actress/doula/teamster, you do it all!!!!",jarpad
2023-03-01 01:01:26+00:00,Can’t wait to see!!,jarpad
2023-02-25 18:05:43+00:00,Don’t miss it!!! TONIGHT!!!!,jarpad
