word,frequency,,,,,,,,
to,1405,,,,,,,,
the,1381,,,,,,,,
I,1207,,,,,,,,
t,1197,,,,,,,,
co,1035,,,,,,,,
and,965,,,,,,,,
a,917,,,,,,,,
you,805,,,,,,,,
for,625,,,,,,,,
of,612,,,,,,,,
https,589,,,,,,,,
in,567,,,,,,,,
is,472,,,,,,,,
it,461,,,,,,,,
http,443,,,,,,,,
my,430,,,,,,,,
with,391,,,,,,,,
that,382,,,,,,,,
me,371,,,,,,,,
on,360,,,,,,,,
this,324,,,,,,,,
WalkerFamily,320,,,,,,,,
be,286,,,,,,,,
walker,278,,495,,,,,,
have,267,,,,,,,,
all,255,,,,,,,,
at,234,,,,,,,,
was,230,,,,,,,,
your,228,,,,,,,,
Supernatural,222,,501,,,,,,
s,220,,,,,,,,
Walker,217,,,,,,,,
are,199,,,,,,,,
out,197,,,,,,,,
we,187,,,,,256,,,
supernatural,177,,,,,,,,
so,176,,,,,,,,
SPNFamily,176,,,,,,,,
I'm,168,,,,,,,,
an,164,,,,,,,,
time,159,,,,,,,,
our,155,,,,,,,,
up,155,,,,,,,,
can,152,,,,,,,,
y'all,152,,,,,,,,
Hey,149,,,,,,,,
but,148,,,,,,,,
get,145,,,,,,,,
not,144,,,,,,,,
like,142,,,,,,,,
do,142,,,,,,,,
love,139,,,,,,,,
The,134,,,,,,,,
know,132,,,,,,,,
You,130,,,,,,,,
from,129,,,,,,,,
see,121,,,,,,,,
what,121,,,,,,,,
just,119,,,,,,,,
as,117,,,,,,,,
about,117,,,,,,,,
We,116,,,,,,,,
episode,116,,,,,,,,
Thank,116,,,,,,,,
great,114,,,,,,,,
one,113,,,,,,,,
back,113,,,,,,,,
Thanks,109,,,,,,,,
And,109,,,,,,,,
had,108,,,,,,,,
who,107,,,,,,,,
now,103,,,,,,,,
SupernaturaI,102,,,,,,,,
there,101,,,,,,,,
It,99,,,,,,,,
amp,98,,,,,,,,
m,96,,,,,,,,
AKF,95,,,,,,,,
y,94,,,,,,,,
go,93,,,,,,,,
think,91,,,,,,,,
some,90,,,,,,,,
more,90,,,,,,,,
will,89,,,,,,,,
been,88,,,,,,,,
say,87,,,,,,,,
That,86,,,,,,,,
if,86,,,,,,,,
he,85,,,,,,,,
us,83,,,,,,,,
his,83,,,,,,,,
akf,82,,,,,,,,
Happy,81,,,,,,,,
they,81,,,,,,,,
WalkerIndependence,81,,,,,,,,
when,80,,,,,,,,
2,80,,,,,,,,
SPNFamiIy,80,,,,,,,,
new,79,,,,,,,,
here,79,,,,,,,,
gonna,78,,,,,,,,
got,78,,,,,,,,
Sam,78,,,,,,,,
re,76,,,,,,,,
than,75,,,,,,,,
by,75,,,,,,,,
This,75,,,,,,,,
What,74,,,,,,,,
My,74,,,,,,,,
right,73,,,,,,,,324
too,73,,,,,,,,
scene,72,,,,,,,,
tonight,72,,,,,,,,
So,71,,,,,,,,
day,70,,,,,,,,
watching,68,,,,,,,,
spnfamily,68,,,,,,,,
has,67,,,,,,,,
were,65,,,,,,,,
how,65,,,,,,,,
much,65,,,,,,,,
i,65,,,,,,,,
season,64,,,,,,,,
ya,64,,,,,,,,
amazing,64,,,,,,,,
make,63,,,,,,,,
him,63,,,,,,,,
or,63,,,,,,,,
watch,62,,,,,,,,
yall,62,,,,,,,,
thanks,61,,,,,,,,
help,59,,,,,,,,
good,59,,,,,,,,
want,58,,,,,,,,
them,58,,,,,,,,
off,58,,,,,,,,
But,58,,,,,,,,
it's,58,,,,,,,,
u,58,,,,,,,,
SO,57,,,,,,,,
A,57,,,,,,,,
If,56,,,,,,,,
hope,56,,,,,,,,
live,56,,,,,,,,
no,56,,,,,,,,
well,55,,,,,,,,
did,55,,,,,,,,
tweet,55,,,,,,,,
support,54,,,,,,,,
going,54,,,,,,,,
It's,54,,,,,,,,
Well,53,,,,,,,,
work,52,,,,,,,,
better,52,,,,,,,,
always,52,,,,,,,,
guys,52,,,,,,,,
show,51,,,,,,,,
Just,51,,,,,,,,
don't,51,,,,,,,,
again,50,,,,,,,,
family,49,,,,,,,,
thank,49,,,,,,,,
wait,49,,,,,,,,
Love,49,,,,,,,,
need,48,,,,,,,,
way,48,,,,,,,,
am,48,,,,,,,,
next,47,,,,,,,,
those,47,,,,,,,,
first,47,,,,,,,,
her,47,,,,,,,,
today,46,,,,,,,,
would,46,,,,,,,,
set,46,,,,,,,,
people,46,,,,,,,,
you're,46,,,,,,,,
In,45,,,,,,,,
only,44,,,,,,,,
little,44,,,,,,,,
1,44,,,,,,,,
doing,44,,,,,,,,
brother,44,,,,,,,,
Wow,44,,,,,,,,
best,43,,,,,,,,
still,42,,,,,,,,
scenes,42,,,,,,,,
YOU,42,,,,,,,,
check,42,,,,,,,,
ve,41,,,,,,,,
4,41,,,,,,,,
Who,41,,,,,,,,
look,41,,,,,,,,
Austin,41,,,,,,,,
sure,41,,,,,,,,
soon,41,,,,,,,,
Oh,41,,,,,,,,
fun,40,,,,,,,,
No,40,,,,,,,,
made,39,,,,,,,,
find,39,,,,,,,,
does,39,,,,,,,,
everybody,38,,,,,,,,
come,38,,,,,,,,
Season,38,,,,,,,,
done,38,,,,,,,,
I've,38,,,,,,,,
Sorry,38,,,,,,,,
don,37,,,,,,,,
really,37,,,,,,,,
feel,37,,,,,,,,
Please,37,,,,,,,,
Not,37,,,,,,,,
birthday,37,,,,,,,,
tell,37,,,,,,,,
said,37,,,,,,,,
years,37,,,,,,,,
Alright,36,,,,,,,,
man,36,,,,,,,,
ll,36,,,,,,,,
10,36,,,,,,,,
over,36,,,,,,,,
could,36,,,,,,,,
Here,35,,,,,,,,
their,35,,,,,,,,
miss,35,,,,,,,,
being,35,,,,,,,,
friend,35,,,,,,,,
try,35,,,,,,,,
down,35,,,,,,,,
didn't,35,,,,,,,,
awesome,35,,,,,,,,
ever,35,,,,,,,,
keep,34,,,,,,,,
why,34,,,,,,,,
sorry,34,,,,,,,,
then,34,,,,,,,,
last,34,,,,,,,,
incredible,34,,,,,,,,
happy,34,,,,,,,,
Great,33,,,,,,,,
I'll,33,,,,,,,,
guy,33,,,,,,,,
As,33,,,,,,,,
same,33,,,,,,,,
thing,33,,,,,,,,
put,33,,,,,,,,
tomorrow,33,,,,,,,,
let,33,,,,,,,,
she,33,,,,,,,,
into,33,,,,,,,,
days,32,,,,,,,,
See,32,,,,,,,,
favorite,32,,,,,,,,
How,32,,,,,,,,
take,32,,,,,,,,
never,32,,,,,,,,
Anybody,32,,,,,,,,
Can,31,,,,,,,,
Now,31,,,,,,,,
things,31,,,,,,,,
fans,31,,,,,,,,
friends,30,,,,,,,,
3,30,,,,,,,,
something,30,,,,,,,,
left,30,,,,,,,,
having,30,,,,,,,,
real,30,,,,,,,,
world,30,,,,,,,,
very,30,,,,,,,,
win,30,,,,,,,,
yes,30,,,,,,,,
filmed,30,,,,,,,,
Don't,30,,,,,,,,
life,29,,,,,,,,
please,29,,,,,,,,
should,29,,,,,,,,
most,29,,,,,,,,
can't,29,,,,,,,,
lot,29,,,,,,,,
because,29,,,,,,,,
proud,29,,,,,,,,
wife,29,,,,,,,,
AlwaysKeepFighting,29,,,,,,,,
crew,28,,,,,,,,
He,28,,,,,,,,
hey,28,,,,,,,,
even,28,,,,,,,,
Birthday,28,,,,,,,,
long,28,,,,,,,,
