word,frequency
t,1029
the,1012
co,990
I,924
a,854
to,806
you,732
and,673
https,599
in,436
for,434
of,411
it,387
http,386
is,356
this,288
my,277
on,255
that,218
was,212
all,199
me,196
be,188
I'm,154
love,152
with,149
are,148
your,147
at,142
And,139
Happy,134
but,125
great,125
The,125
out,122
not,119
one,118
s,117
so,116
do,114
Yes,114
like,112
You,104
have,104
Thanks,103
will,102
from,101
we,100
there,98
see,94
just,94
what,92
Thank,91
yes,91
Congrats,90
good,88
amp,85
So,84
This,83
as,83
go,83
up,80
or,79
who,78
man,77
well,77
time,75
an,74
awesome,74
get,73
A,72
can,72
about,71
indeed,71
Well,71
know,67
done,67
now,67
What,65
thank,63
got,63
fun,62
night,62
We,62
My,62
say,62
show,61
It,58
if,57
some,57
by,57
Great,57
did,57
more,57
Love,57
no,56
Just,55
too,55
today,54
it's,54
his,53
thanks,53
happy,53
he,53
don't,53
m,52
here,52
back,51
when,49
our,49
best,49
Go,48
they,48
day,48
much,46
had,46
people,46
little,45
tonight,45
fantastic,45
Oh,45
I'll,45
would,45
first,44
been,43
many,43
Day,42
cast,42
right,42
wait,42
should,41
crew,41
last,40
guys,40
Hey,40
YOU,40
It's,40
amazing,39
guy,39
movie,38
photo,37
P,37
has,37
2,37
am,36
think,36
her,35
In,35
birthday,35
how,35
Patrick,35
Wilson,35
Birthday,34
way,34
them,34
really,34
that's,34
tweet,33
work,33
everyone,33
make,33
us,33
Not,32
film,32
One,32
were,32
years,31
sure,31
year,30
him,30
funny,30
But,30
R,30
than,30
favorite,30
new,30
watching,30
See,29
ever,29
call,29
He,29
That,29
need,29
family,29
again,29
Good,29
you're,29
big,28
help,28
look,28
next,28
those,28
then,28
friend,28
off,28
play,28
come,28
I'd,28
That's,28
RT,28
because,27
hope,27
weekend,27
after,27
u,27
said,27
world,26
friends,26
Hope,26
few,26
why,26
times,26
take,26
still,26
I've,26
hi,26
something,25
part,25
Here,25
Big,25
No,25
very,25
mean,25
didn't,25
soon,24
tell,24
made,24
always,24
over,24
into,24
old,24
If,24
want,23
even,23
bad,23
fan,23
Can,23
season,23
Enjoy,23
being,23
better,23
only,23
oh,22
There,22
never,22
excited,22
3,22
miss,22
bit,22
other,22
gonna,22
most,22
hello,22
Van,22
New,21
around,21
Now,21
could,21
yet,21
run,21
home,21
game,21
going,21
wife,21
watch,21
i,21
hey,21
ll,20
late,20
win,20
GoBolts,20
Or,20
ridiculous,20
Check,20
two,20
name,20
Can't,20
can't,20
nice,19
thing,19
dad,19
Do,19
week,19
congrats,19
pretty,19
thought,19
sing,19
cool,19
posted,18
she,18
fans,18
via,18
these,18
every,18
Get,18
proud,18
days,18
job,18
any,18
Wow,18
crap,18
where,18
Don't,18
Let's,18
saw,18
Who,17
yesterday,17
read,17
which,17
Amazing,17
lot,17
Bolts,17
both,17
RIP,17
They,17
1,17
feel,17
course,17
live,17
set,17
tomorrow,17
glad,17
Have,17
sorry,17
band,17
twitter,17
4,16
please,16
re,16
support,16
beautiful,16
How,16
wish,16
ago,16
10,16
goes,16
school,16
ready,16
coming,16
TRUE,16
Please,16
All,16
down,16
away,16
Will,16
kid,16
w,16
Hello,16
folks,15
same,15
5,15
town,15
actually,15
scene,15
honor,15
does,15
though,15
Let,15
looks,15
Fantastic,15
Keep,15
d,15
keep,15
especially,15
loved,15
their,15
actor,15
Woohoo,15
wonderful,15
another,15
while,15
damn,15
Very,15
trying,15
Awesome,15
meet,15
Come,14
someone,14
Then,14
flick,14
enjoy,14
cause,14
played,14
On,14
bring,14
seeing,14
Conjuring,14
Christmas,14
Your,14
tweets,14
hate,14
answer,14
who's,14
Halen,14
Gonna,14
D,14
ve,13
singing,13
things,13
together,13
gave,13
With,13
went,13
safe,13
seen,13
start,13
making,13
Take,13
At,13
least,13
Ok,13
NYC,13
Is,13
long,13
ass,13
dance,13
Here's,13
Perhaps,12
AND,12
trailer,12
idea,12
Nice,12
dog,12
totally,12
talented,12
took,12
series,12
special,12
looking,12
Little,12
young,12
Holy,12
music,12
People,12
lost,12
Sunday,12
morning,12
bro,12
find,12
Mr,12
brother,12
kids,12
Anniversary,12
city,12
hard,12
question,12
tv,12
Jack,12
TheConjuring,12
knows,11
real,11
give,11
song,11
else,11
believe,11
different,11
Congratulations,11
Man,11
Wish,11
She,11
team,11
Tampa,11
having,11
hear,11
working,11
share,11
before,11
talk,11
care,11
use,11
may,11
getting,11
reply,11
own,11
dude,11
Maybe,11
mom,11
running,11
wanted,11
girl,11
came,11
tour,11
talking,11
news,11
remember,11
yer,11
fight,11
He's,11
doesn't,11
side,10
such,10
Time,10
missed,10
Ed,10
THIS,10
taking,10
check,10
Me,10
story,10
Thnx,10
makes,10
dear,10
heart,10
Two,10
video,10
luck,10
reason,10
life,10
Today,10
As,10
8,10
career,10
Agreed,10
left,10
through,10
Umm,10
Yep,10
boy,10
pic,10
Stone,10
phone,10
house,10
haha,10
haven't,10
yep,10
bed,10
What's,10
ICYMI,10
must,10
woohoo,10
its,10
since,9
happen,9
picture,9
shirt,9
early,9
30,9
Damn,9
welcome,9
called,9
U,9
head,9
Like,9
fellas,9
told,9
minutes,9
crazy,9
don,9
food,9
point,9
tune,9
ride,9
acting,9
For,9
absolutely,9
behind,9
rock,9
also,9
loud,9
Right,9
thnx,9
Too,9
Every,9
His,9
Never,9
questions,9
bday,9
poster,9
Tear,9
probably,9
sad,9
full,9
shooting,9
7,9
When,9
Are,9
Watchmen,9
you've,9
umm,9
role,9
says,9
By,9
First,9
till,9
o',9
Absolutely,9
place,9
Did,9
Insidious,9
couple,9
everybody,8
almost,8
super,8
hockey,8
NOT,8
S,8
movies,8
let,8
second,8
Tom,8
whole,8
Where,8
Hard,8
hell,8
sports,8
Welcome,8
James,8
fucking,8
honestly,8
theater,8
anyone,8
18,8
Tony,8
badass,8
photos,8
buddy,8
Be,8
Merry,8
wanna,8
far,8
episode,8
opening,8
star,8
room,8
Way,8
cry,8
Any,8
wrong,8
premiere,8
horror,8
gift,8
Gap,8
car,8
put,8
later,8
blast,8
once,8
half,8
suit,8
wishes,8
lil,8
shit,8
Rangers,8
Who's,8
she's,8
couldn't,8
stop,8
killer,8
what's,8
St,8
concert,8
certainly,8
Indonesia,8
marathon,8
involved,7
Much,7
doing,7
LFG,7
Especially,7
event,7
organization,7
choose,7
Orm,7
fellow,7
law,7
worked,7
ok,7
definitely,7
Another,7
perhaps,7
Of,7
month,7
try,7
creepy,7
To,7
mine,7
hands,7
hand,7
under,7
shot,7
incredible,7
voice,7
Full,7
Atlantis,7
greatest,7
Twitter,7
trip,7
plan,7
Bring,7
trident,7
during,7
Look,7
Levon,7
social,7
listen,7
important,7
started,7
goal,7
Easter,7
high,7
shows,7
Fun,7
snow,7
finale,7
deal,7
Loved,7
Helluva,7
comes,7
nothing,7
Remember,7
comin,7
NO,7
Polska,7
o,7
moment,7
angry,7
dads,7
thrill,7
boys,7
Duh,7
forget,7
hour,7
pictures,7
Phantom,7
You're,7
gig,7
Sorry,7
wifey,7
Chris,7
respond,7
weird,7
huh,7
maybe,7
playing,7
cut,7
speech,7
Wait,7
let's,7
wearing,7
tough,7
nope,7
won't,7
STRETCH,7
Yeah,7
We're,7
C'mon,7
hot,7
we'll,7
dig,7
Eddie,7
sleep,7
Really,7
Gifted,7
scary,7
past,6
Year,6
loving,6
appreciated,6
son,6
join,6
chance,6
save,6
writer,6
wrote,6
kinda,6
Always,6
Got,6
hometown,6
joke,6
Black,6
Excited,6
hold,6
Dog,6
worst,6
Don,6
nearly,6
fake,6
spot,6
men,6
Hi,6
sweet,6
mother,6
Help,6
NOW,6
showed,6
creative,6
each,6
become,6
From,6
Monty,6
stuff,6
happened,6
Tell,6
forward,6
teams,6
unbelievable,6
laughing,6
Mexico,6
Make,6
rather,6
happydaggy,6
VERY,6
Stay,6
book,6
Pretty,6
kit,6
open,6
himself,6
wknd,6
Next,6
yourself,6
Crazy,6
background,6
agree,6
pleasure,6
Sometimes,6
heard,6
word,6
album,6
IS,6
fact,6
random,6
USA,6
Had,6
jam,6
write,6
end,6
ones,6
ME,6
yah,6
race,6
strong,6
isn't,6
Gotta,6
Mother's,6
wasn't,6
pizza,6
wouldn't,6
met,6
speak,6
Killer,6
nights,6
wee,6
tried,6
thinking,6
f,6
performance,6
We'll,6
'em,6
Stop,6
evening,6
cream,6
Why,6
huge,6
kick,6
gotta,6
problem,6
enough,6
wow,6
12,6
Pete,6
13,6
Rock,6
Tuesday,6
',6
LA,6
asked,6
Funny,6
Annnnd,6
TV,6
dug,6
Girls,6
Ryan,6
AGiftedMan,6
number,5
either,5
StanleyCup,5
piece,5
DO,5
FireTheCannons,5
Leigh,5
official,5
Glad,5
Sweet,5
Boom,5
hopefully,5
dogs,5
yrs,5
matching,5
Bay,5
laugh,5
Memorial,5
service,5
women,5
solid,5
hours,5
Veterans,5
Our,5
seems,5
person,5
country,5
Halloween,5
brilliant,5
words,5
fine,5
YouTube,5
stories,5
videos,5
experience,5
bringing,5
rights,5
taken,5
Unbelievable,5
Dammit,5
DC,5
drummer,5
post,5
media,5
coffee,5
front,5
0,5
supporting,5
Some,5
donate,5
act,5
written,5
clearly,5
ran,5
asking,5
Santa,5
wear,5
yours,5
Jersey,5
already,5
biggest,5
Boo,5
ahead,5
Thanksgiving,5
midwaymovie,5
rest,5
October,5
films,5
breaking,5
An,5
moms,5
Wan,5
sea,5
surface,5
mess,5
helps,5
bought,5
Tartan,5
Mary,5
sir,5
perfect,5
donated,5
train,5
holidays,5
Night,5
Would,5
Patton,5
Fargo,5
hurts,5
Florida,5
yo,5
anything,5
Father's,5
tear,5
Jeff,5
drums,5
van,5
forever,5
self,5
street,5
She's,5
top,5
means,5
ALL,5
BIG,5
green,5
UFC,5
Best,5
Looks,5
Apparently,5
audition,5
yeah,5
dream,5
writing,5
Hopefully,5
he's,5
confused,5
college,5
drive,5
purty,5
VH,5
holiday,5
list,5
sequel,5
article,5
parents,5
Scott,5
IMDb,5
Does,5
often,5
conjuring,5
LKWW,5
LetsKillWardsWife,5
killed,5
16,5
Last,5
busy,5
record,5
Christian,5
party,5
r,5
awful,5
ahhh,5
rehearsal,5
Club,5
saying,5
sadly,5
character,5
gun,5
network,5
ummm,5
rangers,5
Mitt,5
AGM,5
17,4
baby,4
scenes,4
passion,4
hang,4
Super,4
ship,4
MANY,4
theaters,4
Old,4
title,4
20,4
others,4
training,4
pride,4
wins,4
ultimate,4
straight,4
Michael,4
ton,4
Mother,4
gone,4
local,4
15,4
fancy,4
Friday,4
Bruce,4
director,4
respect,4
playoffs,4
Something,4
Annie,4
Joel,4
pick,4
Bone,4
Munday,4
Beautiful,4
pulling,4
served,4
Batman,4
helluva,4
Its,4
personal,4
power,4
fathers,4
odd,4
beer,4
9,4
schedule,4
Bob,4
Done,4
11,4
finish,4
4th,4
Rest,4
Peace,4
actual,4
City,4
adore,4
doc,4
raise,4
THE,4
Both,4
Such,4
pushing,4
cup,4
needed,4
short,4
min,4
sit,4
Join,4
Soon,4
sounded,4
Oy,4
matter,4
Holidays,4
might,4
Fox,4
Team,4
thunder,4
God,4
Favorite,4
continues,4
pose,4
Under,4
Haha,4
missing,4
America,4
Thursday,4
roll,4
without,4
Vegas,4
celebrating,4
waiting,4
leave,4
victims,4
happens,4
rip,4
favor,4
Her,4
single,4
weeks,4
HAVE,4
won,4
Joe,4
Even,4
watched,4
send,4
dwellers,4
China,4
along,4
difficult,4
history,4
silly,4
brought,4
Nun,4
FSU,4
charming,4
Am,4
sounds,4
Opening,4
Thing,4
using,4
giant,4
Home,4
Spent,4
stay,4
common,4
action,4
count,4
pics,4
Carnegie,4
between,4
Watch,4
myself,4
National,4
K,4
Marathon,4
mind,4
comeback,4
David,4
West,4
response,4
finding,4
light,4
complicated,4
Tough,4
Blue,4
Raoul,4
Although,4
ask,4
lady,4
directed,4
Actually,4
y,4
actors,4
awkward,4
singer,4
water,4
OF,4
Hollywood,4
El,4
face,4
longer,4
American,4
national,4
type,4
Lotta,4
funnier,4
knowing,4
Years,4
lots,4
throw,4
Seriously,4
press,4
Obama,4
Valentine's,4
Elvis,4
Donna,4
dead,4
soccer,4
youth,4
bacon,4
interview,4
Watching,4
session,4
depends,4
could've,4
